policy,replicate,budget,timestep,entropy,normalized_entropy
uniform,0,160,69,2.8853358920580363,0.9982577099902907
uniform,0,160,70,2.8868593442824784,0.9987847882874961
uniform,0,160,71,2.888541096447556,0.9993666346055288
uniform,0,160,72,2.8903717578961645,1.0
uniform,0,160,73,2.8888812751439654,0.9994843283573723
uniform,0,160,74,2.8876161981228994,0.9990466417457418
uniform,0,160,75,2.886565042153578,0.9986829667387294
uniform,0,160,76,2.885716991978491,0.998389561514031
uniform,0,160,77,2.885061855761647,0.9981628999383864
uniform,0,160,78,2.8845900227565435,0.9979996569217001
uniform,0,160,79,2.88429242430919,0.9978966949250155
uniform,0,160,80,2.884160497896886,0.9978510515187847
uniform,0,160,81,2.884186153933543,0.9978599278982978
uniform,0,160,82,2.884361745099113,0.9979206782723942
uniform,0,160,83,2.8846800379745203,0.9980308000498223
uniform,0,160,84,2.885134186784702,0.9981879247549543
uniform,0,160,85,2.8857177090713244,0.998389809611125
uniform,0,160,86,2.8864244631336784,0.9986343297357156
uniform,0,160,87,2.8872486270914086,0.9989194708963566
uniform,0,160,88,2.888184679436307,0.999243322782309
uniform,0,160,89,2.889227380952611,0.9996040727493176
uniform,0,160,90,2.8903717578961645,1.0
uniform,0,160,91,2.8894003925358955,0.9996639306491923
uniform,0,160,92,2.8885695919896417,0.9993764933864997
uniform,0,160,93,2.8878735374687126,0.999135675049195
uniform,0,160,94,2.8873066851225535,0.9989395575966179
uniform,0,160,95,2.8868637507051917,0.9987863128051299
uniform,0,160,96,2.886539695236003,0.998674197307079
uniform,0,160,97,2.886329711581178,0.9986015479483066
uniform,0,160,98,2.886229211888412,0.998566777440848
uniform,0,160,99,2.886233815812878,0.9985683702893988
uniform,0,160,100,2.8863393394776184,0.9986048789718728
uniform,0,160,101,2.88654178511606,0.9986749203559572
uniform,0,160,102,2.8868373313485556,0.998777172335028
uniform,0,160,103,2.887222324048657,0.9989103706680972
uniform,0,160,104,2.887693267758309,0.9990733060096721
uniform,0,160,105,2.888246817614319,0.9992648211165085
uniform,0,160,106,2.888879771751366,0.9994838082192291
uniform,0,160,107,2.8895890641494564,0.9997292065477149
uniform,0,160,108,2.8903717578961645,1.0
uniform,0,160,109,2.8896888280580537,0.9997637224913214
uniform,0,160,110,2.889101719131801,0.9995605967429989
uniform,0,160,111,2.8886070899547978,0.9993894667921018
uniform,0,160,112,2.888201732110225,0.9992492226025904
uniform,0,160,113,2.8878825636970817,0.9991387979098942
uniform,0,160,114,2.8876466234406086,0.9990571681832584
uniform,0,160,115,2.8874910651218415,0.999003348698501
uniform,0,160,116,2.8874131523065296,0.9989763927143447
uniform,0,160,117,2.8874102533550237,0.9989753897459556
uniform,0,160,118,2.887479836696016,0.9989994639297702
uniform,0,160,119,2.88761946634819,0.9990477724740924
uniform,0,160,120,2.88782679767491,0.9991195041903167
uniform,0,160,121,2.888099573358103,0.999213878099987
uniform,0,160,122,2.8884356195783876,0.9993301421132117
uniform,0,160,123,2.8888328423893856,0.9994675717742624
uniform,0,160,124,2.889289224274942,0.9996254690704526
uniform,0,160,125,2.889802820878696,0.9998031613006478
uniform,0,160,126,2.8903717578961645,1.0
uniform,0,160,127,2.8898655110962217,0.9998248506274116
uniform,0,160,128,2.8894286907862385,0.9996737211719048
uniform,0,160,129,2.8890592055157502,0.9995458880412775
uniform,0,160,130,2.888755035523464,0.9994406524460794
