policy,replicate,budget,timestep,entropy,normalized_entropy
uniform,0,160,128,2.564261493439953,0.9997318215973416
uniform,0,160,129,2.5645780450181723,0.9998552359553282
uniform,0,160,130,2.564949357461537,1.0000000000000002
uniform,0,160,131,2.5646090853380406,0.9998673376834882
uniform,0,160,132,2.564331799624938,0.9997592319572306
uniform,0,160,133,2.5641156447499434,0.9996749593869493
uniform,0,160,134,2.563958827021117,0.9996138206637342
uniform,0,160,135,2.56385961219077,0.9995751396542795
uniform,0,160,136,2.563816323131084,0.999558262494674
uniform,0,160,137,2.56382733761559,0.9995625567254641
uniform,0,160,138,2.563891086200981,0.9995874104658334
uniform,0,160,139,2.5640060502040694,0.9996322316248766
uniform,0,160,140,2.564170759769003,0.9996964471480622
uniform,0,160,141,2.5643837920201276,0.9997795022970867
uniform,0,160,142,2.5646437692961523,0.9998808599614275
uniform,0,160,143,2.564949357461537,1.0000000000000002
uniform,0,160,144,2.564667078695161,0.9998899476258452
uniform,0,160,145,2.5644365865342653,0.999800085360056
uniform,0,160,146,2.564256488830331,0.9997298704439563
uniform,0,160,147,2.5641254357796703,0.9996787766279012
uniform,0,160,148,2.5640421184023814,0.9996462935782665
uniform,0,160,149,2.5640052670849856,0.9996319263092642
uniform,0,160,150,2.5640136501836928,0.9996351946383962
uniform,0,160,151,2.5640660726853985,0.9996556326644155
uniform,0,160,152,2.564161374923695,0.9996927882667355
uniform,0,160,153,2.5642984313472965,0.9997462226252746
uniform,0,160,154,2.5644761493384327,0.9998155097597824
uniform,0,160,155,2.5646934680788975,0.9999002360877439
uniform,0,160,156,2.564949357461537,1.0000000000000002
uniform,0,160,157,2.5647114154344735,0.9999072332456113
uniform,0,160,158,2.5645167984319293,0.9998313576724822
uniform,0,160,159,2.5643644354557034,0.9997719557292108
uniform,0,160,160,2.5642532854519273,0.999728621538829
spruce_fast,0,160,1,-0.0,-0.0
spruce_fast,0,160,2,0.6931471805599453,0.27023815442731974
spruce_fast,0,160,3,1.0986122886681096,0.4283173410313946
spruce_fast,0,160,4,1.3862943611198906,0.5404763088546395
spruce_fast,0,160,5,1.6094379124341005,0.6274735630753034
spruce_fast,0,160,6,1.791759469228055,0.6985554954587144
