test,horizon,cap,reference_cap,policy,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method
capp,200,96,64,level_star,-0.00044706128572579465,-0.0012973133586259792,0.0003812064366415142,0.0004226671810764687,0.49971875,8,16000,8,-0.0032541629240168254,0.0023600403525652364,0.0011871237624329527,0.7176323932553877,0.671875,-0.002686457835127299,0.0032346614343159536,-0.002439953758579213,0.0018834757644217459,,,False,env_mean_t
capp,200,128,64,level_star,-0.00044706128572579465,-0.0012878563279897207,0.0004056219173886347,0.00042754135021169984,0.49971875,8,16000,8,-0.0032541629240168254,0.0023600403525652364,0.0011871237624329527,0.7176323932553877,0.671875,-0.0026563219266037877,0.003255497029996041,-0.0024730400021653618,0.0018138932401139754,,,False,env_mean_t
capp,200,160,64,level_star,-0.002890184234784101,-0.004515552106816903,-0.0012545420772530635,0.0008287336264565067,0.503125,8,16000,8,-0.010846669722946251,0.00506630125337805,0.0033647990723273485,0.4188088492760894,0.5078125,-0.023501688937564224,0.002727696974913638,-0.009755324554539396,0.0023144216112086706,,,False,env_mean_t
capp,200,200,64,level_star,-0.00044706128572579465,-0.0012979112900327885,0.0003939677831978764,0.00042761847554799914,0.49971875,8,16000,8,-0.0032541629240168254,0.0023600403525652364,0.0011871237624329527,0.7176323932553877,0.671875,-0.0026563219266037877,0.003280317538364829,-0.0024811260645103174,0.0018214772231876846,,,False,env_mean_t
capp,200,32,64,p3_star,0.008563186286293786,0.006887838664137599,0.010220549279008992,0.0008509778925096552,0.483375,8,16000,8,-0.005742635243714829,0.0228690078163024,0.006049934369222669,0.19986093692560625,0.265625,-0.001909052127485808,0.05169343284281585,-0.0012450144547037777,0.020610103455199716,,,False,env_mean_t
capp,200,48,64,p3_star,0.0016181511177419453,0.000302067752310177,0.002932556310193103,0.000665896501031907,0.50221875,8,16000,8,-0.003688087168681844,0.006924389404165735,0.002244009077911456,0.4942221499916554,0.4921875,-0.0027093680699259923,0.010798640577503254,-0.0021803736809117248,0.005979457795509364,,,False,env_mean_t
capp,200,96,64,p3_star,0.0013452774421748473,0.0006442022982035269,0.002048663928741007,0.0003650868244644303,0.4965,8,16000,8,-0.0005836150381635084,0.003274169922513203,0.0008157289594907418,0.14310053461825498,0.140625,-0.0006343809172118524,0.0033675345452695593,-0.00014381976926233623,0.0027806145650771216,,,False,env_mean_t
capp,200,128,64,p3_star,2.7949258335866004e-05,-0.0006593606635869942,0.0007245200065226526,0.0003563830658541522,0.49687500000000007,8,16000,8,-0.0014269164853193208,0.0014828150019910527,0.0006152629715588875,0.9650360952620748,0.9765625,-0.001814071148347811,0.0012626228151151782,-0.0011571982825407758,0.00107152941217646,,,False,env_mean_t
capp,200,160,64,p3_star,0.0013452774421748473,0.0006351510335149216,0.0020634382171389005,0.00036448656226779593,0.4965,8,16000,8,-0.0005836150381635084,0.003274169922513203,0.0008157289594907418,0.14310053461825498,0.140625,-0.0007104205648498368,0.0035309809823696496,-0.0001764640681300079,0.002830604465692886,,,False,env_mean_t
capp,200,200,64,p3_star,0.0015169855435815407,0.00040280310554844626,0.0026196704410307576,0.0005663445881372719,0.48959375000000005,8,16000,8,-0.0014703537308209782,0.0045043248179840595,0.0012633462895385095,0.2688923212278234,0.2578125,-0.002773793464578233,0.004125665493867048,-0.0009072073976014508,0.0037306337272748355,,,False,env_mean_t
