test,recommender,variant,policy,oof_auc_env,oof_bal_acc_tau_off,tau_off,oof_bal_acc_05,k,feature_set,n_features,regret_pooled,regret_lo,regret_hi,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,search_frac,n_cells,regret_family_A,regret_family_B
A,oracle_prior,clock_quality_evidence_k16_notrunc,phi_k16_notrunc,0.758030740787624,0.6926996014901499,0.66,0.659589248533319,16,clock_quality_evidence,62,0.10960463963075964,0.10892494574683952,0.11027722896440537,-0.03865871247234736,-0.03949860984881525,-0.0378162618339411,0.2511674289216682,40,0.1322032816372419,0.08700599762427738
A,posterior_mean,clock_quality_evidence_k16_notrunc,phi_k16_notrunc,0.758030740787624,0.6926996014901499,0.66,0.659589248533319,16,clock_quality_evidence,62,0.10986340667474506,0.1091753089609847,0.1105357314097637,-0.03845829294051491,-0.039300618814013435,-0.037616197793686294,0.2511674289216682,40,0.13252495757708238,0.08720185577240773
A,posterior_mean_shrunk,clock_quality_evidence_k16_notrunc,phi_k16_notrunc,0.758030740787624,0.6926996014901499,0.66,0.659589248533319,16,clock_quality_evidence,62,0.10960960551835089,0.10892952038993826,0.11028027787338941,-0.03866140148877149,-0.039504402385719006,-0.03781842490145209,0.2511674289216682,40,0.13219648188721184,0.0870227291494899
A,empirical,clock_quality_evidence_k16_lucb,phi_k16_lucb,0.7219912143631587,0.6676717102341581,0.66,0.6260531794754512,16,clock_quality_evidence,62,0.11464105484418652,0.11392266658484004,0.11535605485609267,-0.03394610615341899,-0.03482449218878173,-0.033065680270810846,0.24567671613235387,40,0.1364557992823764,0.09282631040599662
A,lcb,clock_quality_evidence_k16_lucb,phi_k16_lucb,0.7219912143631587,0.6676717102341581,0.66,0.6260531794754512,16,clock_quality_evidence,62,0.11008352000801205,0.10938961412663048,0.11075470005664101,-0.038218135045935374,-0.039052613287713034,-0.037380443851725426,0.24567671613235387,40,0.13265174883469516,0.08751529118132893
A,oracle_prior,clock_quality_evidence_k16_lucb,phi_k16_lucb,0.7219912143631587,0.6676717102341581,0.66,0.6260531794754512,16,clock_quality_evidence,62,0.1100671306026572,0.10937380768533331,0.11073967733012978,-0.03819622150044979,-0.03902848225734488,-0.03736229438451119,0.24567671613235387,40,0.13265325659676963,0.08748100460854476
A,posterior_mean,clock_quality_evidence_k16_lucb,phi_k16_lucb,0.7219912143631587,0.6676717102341581,0.66,0.6260531794754512,16,clock_quality_evidence,62,0.11079981932172633,0.11010543969270657,0.1114860540025984,-0.03752188029353365,-0.03836154432487092,-0.03668391108629294,0.24567671613235387,40,0.13342890324745021,0.08817073539600243
A,posterior_mean_shrunk,clock_quality_evidence_k16_lucb,phi_k16_lucb,0.7219912143631587,0.6676717102341581,0.66,0.6260531794754512,16,clock_quality_evidence,62,0.11008960670413762,0.10939768325632031,0.11076372037859983,-0.03818140030298473,-0.03901074217159476,-0.03734975511593803,0.24567671613235387,40,0.1326901183912116,0.08748909501706367
A,empirical,reservoir_rule_k16,phi_reservoir_rule,0.6733087250899507,0.6223751928588681,0.63,0.5832743972071016,16,reservoir_rule,7,0.12911453006885093,0.12828747324529105,0.12991672929027118,-0.019472630928754554,-0.020421497147506216,-0.01853390582902648,0.3178201186229594,40,0.14549604064809318,0.11273301948960872
A,lcb,reservoir_rule_k16,phi_reservoir_rule,0.6733087250899507,0.6223751928588681,0.63,0.5832743972071016,16,reservoir_rule,7,0.11430148715217911,0.11360049730690662,0.11498748244121089,-0.03400016790176833,-0.034869619696360134,-0.03313608575914259,0.3178201186229594,40,0.13680074537574474,0.09180222892861348
