level,split,env_id,horizon,cap,base_seed,theta,alpha,c,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,200,64,5007000,0.65,0.5,8.0,1,2000,0.12404237538576127,0.0016392639870674761,3.2505,0.006315656565656566,False
env,val,beta_good_common,200,64,5007000,0.65,0.75,1.0,1,2000,0.12404237538576127,0.0016392639870674761,3.2505,0.006315656565656566,False
env,val,beta_good_common,200,64,5007000,0.65,0.75,1.5,1,2000,0.12404237538576127,0.0016392639870674761,3.2505,0.006315656565656566,False
env,val,beta_good_common,200,64,5007000,0.65,0.75,2.0,1,2000,0.12404237538576127,0.0016392639870674761,3.2505,0.006315656565656566,False
env,val,beta_good_common,200,64,5007000,0.65,0.75,3.0,1,2000,0.12404237538576127,0.0016392639870674761,3.2505,0.006315656565656566,False
env,val,beta_good_common,200,64,5007000,0.675,0.5,3.0,1,2000,0.05491115060448647,0.001124256848571447,43.0,0.20707070707070716,False
env,val,beta_good_common,200,64,5007000,0.675,0.5,4.0,1,2000,0.057494681656360624,0.0011790663941334597,57.0,0.2777777777777778,False
env,val,beta_good_common,200,64,5007000,0.675,0.5,6.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.675,0.5,8.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.675,0.75,1.0,1,2000,0.056923432558774946,0.0011870608867809247,54.0,0.2626262626262626,False
env,val,beta_good_common,200,64,5007000,0.675,0.75,1.5,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.55,0.5,3.0,1,2000,0.16809588738926687,0.0027229839522880067,20.936,0.3945000000000001,False
env,val,beta_good_common,200,64,5007000,0.675,0.75,2.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.675,0.75,3.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_good_common,200,64,5007000,0.7,0.5,3.0,1,2000,0.05491115060448647,0.001124256848571447,43.0,0.20707070707070716,False
env,val,beta_good_common,200,64,5007000,0.7,0.5,4.0,1,2000,0.057494681656360624,0.0011790663941334597,57.0,0.2777777777777778,False
env,val,beta_rare_excellent,50,64,5046000,0.55,0.5,4.0,1,2000,0.16879732317500748,0.0027176701390123448,26.0265,0.5005520833333333,False
env,val,beta_good_common,200,64,5007000,0.7,0.5,6.0,1,2000,0.05879899135231972,0.0011978891269134168,64.0,0.31313131313131315,False
env,val,beta_rare_excellent,50,64,5046000,0.55,0.5,6.0,1,2000,0.17278735316358507,0.0027806480630927764,32.404,0.6334166666666667,False
